BenchName,Algo,Critical Compensate,Validation level,WW allowed,Store enabled,Cuckoo enabled,ConflictFraction,NumFeeAccounts,Malloc,NumProgs,NumThreads,Duration(ms),Committed,FailedEx,FailedVal,FailedExRate,FailedValRate,Throughput(ktps),ScaledTime,numValidations,numValAgainst,avgValAgainst,AvgValRound,Exec time(ms),Val time(ms),Commit Time(ms),Compensate Time(ms),T0-T finished,T0-T failedEx,T0-TfailedVal,T0-TNC finished,T0-TNC failedEx,T0-TNCfailedVal,T1-T finished,T1-T failedEx,T1-TfailedVal,T1-TNC finished,T1-TNC failedEx,T1-TNCfailedVal,T2-T finished,T2-T failedEx,T2-TfailedVal,T2-TNC finished,T2-TNC failedEx,T2-TNCfailedVal,T3-T finished,T3-T failedEx,T3-TfailedVal,T3-TNC finished,T3-TNC failedEx,T3-TNCfailedVal,T4-T finished,T4-T failedEx,T4-TfailedVal,T4-TNC finished,T4-TNC failedEx,T4-TNCfailedVal,T5-T finished,T5-T failedEx,T5-TfailedVal,T5-TNC finished,T5-TNC failedEx,T5-TNCfailedVal,T6-T finished,T6-T failedEx,T6-TfailedVal,T6-TNC finished,T6-TNC failedEx,T6-TNCfailedVal,T7-T finished,T7-T failedEx,T7-TfailedVal,T7-TNC finished,T7-TNC failedEx,T7-TNCfailedVal,T8-T finished,T8-T failedEx,T8-TfailedVal,T8-TNC finished,T8-TNC failedEx,T8-TNCfailedVal,T9-T finished,T9-T failedEx,T9-TfailedVal,T9-TNC finished,T9-TNC failedEx,T9-TNCfailedVal
Banking,OMVCC,0,R,N,N,N,0,1,normal,5000000,10,9074.35,4923264,0,0,0,0,542,9215.78,4923264,44239877,8.98588,2.14067,0,0,0,0,0,0,0,486788,0,0,0,0,0,486929,0,0,0,0,0,489968,0,0,0,0,0,498558,0,0,0,0,0,485439,0,0,0,0,0,487870,0,0,0,0,0,500001,0,0,0,0,0,496904,0,0,0,0,0,496947,0,0,0,0,0,493860,0,0
Banking,MV3C,1,R,Y,N,N,0,1,normal,5000000,10,8999.32,4816026,0,0,0,0,535,9343.09,4816026,43290748,8.98889,2.12335,0,0,0,0,0,0,0,477133,0,0,0,0,0,473901,0,0,0,0,0,500001,0,0,0,0,0,482058,0,0,0,0,0,491853,0,0,0,0,0,478319,0,0,0,0,0,482823,0,0,0,0,0,470327,0,0,0,0,0,471954,0,0,0,0,0,487657,0,0
Banking,OMVCC,0,R,N,N,N,0.1,1,normal,5000000,10,12968,4536491,1513060,0,0.333531,0,349,14292.9,4536491,27028046,5.95792,1.14153,0,0,0,0,44562,153194,0,402366,0,0,45583,152288,0,408693,0,0,45914,150057,0,416212,0,0,45202,152572,0,407154,0,0,50388,139775,0,449613,0,0,43842,155190,0,392450,0,0,46329,148533,0,416308,0,0,43201,156282,0,387696,0,0,43460,155478,0,387766,0,0,46150,149691,0,413602,0,0
Banking,MV3C,1,R,Y,N,N,0.1,1,normal,5000000,10,7635.14,4797005,0,502078,0,0.104665,628,7958.24,5228975,42043593,8.0405,18.1282,0,0,0,0,49871,0,50786,450130,0,0,48213,0,50298,432323,0,0,47827,0,49750,434342,0,0,49127,0,50627,441824,0,0,49039,0,50580,437259,0,0,48414,0,50214,433327,0,0,49028,0,50141,440020,0,0,48427,0,50118,434093,0,0,41429,0,48970,369621,0,0,49375,0,50594,443316,0,0
Banking,OMVCC,0,R,N,N,N,0.2,1,normal,5000000,10,22905.5,4482561,4806389,0,1.07224,0,195,25549.5,4482561,14312195,3.19286,1.04745,0,0,0,0,84192,485040,0,337412,0,0,83694,486667,0,333436,0,0,99536,467432,0,400465,0,0,85467,486346,0,342704,0,0,92115,479350,0,367962,0,0,83930,487825,0,334983,0,0,89280,477869,0,358275,0,0,88381,482976,0,352819,0,0,90870,481013,0,362580,0,0,98881,471871,0,395579,0,0
Banking,MV3C,1,R,Y,N,N,0.2,1,normal,5000000,10,7988.62,4863949,0,1581013,0,0.325047,608,8212.07,6095527,42995293,7.05358,21.2279,0,0,0,0,99397,0,159682,398534,0,0,99341,0,159262,396741,0,0,99190,0,159500,398926,0,0,100022,0,159526,399979,0,0,99953,0,159547,399108,0,0,98691,0,159700,394432,0,0,82695,0,147289,332311,0,0,96535,0,158110,385034,0,0,96866,0,158652,386900,0,0,99838,0,159745,399456,0,0
Banking,OMVCC,0,R,N,N,N,0.3,1,normal,5000000,10,29314.5,4025602,7526071,0,1.86955,0,137,36410.1,4025602,7975081,1.98109,1.02586,0,0,0,0,122602,752394,0,286802,0,0,110892,759069,0,258847,0,0,114356,756084,0,267113,0,0,111298,757381,0,260339,0,0,112943,755339,0,263372,0,0,105691,760429,0,247019,0,0,149855,727916,0,350146,0,0,130797,750921,0,305135,0,0,128130,751221,0,299060,0,0,120089,755317,0,281116,0,0
Banking,MV3C,1,R,Y,N,N,0.3,1,normal,5000000,10,9633.87,4823151,0,2769027,0,0.574112,500,9987.11,6898746,42791654,6.20282,22.7893,0,0,0,0,148027,0,279434,346077,0,0,147106,0,278492,343815,0,0,125644,0,255269,293169,0,0,150111,0,281835,349890,0,0,145587,0,277622,338393,0,0,145666,0,279361,341153,0,0,148727,0,281084,347578,0,0,144451,0,278595,336571,0,0,144709,0,278234,338025,0,0,146378,0,279101,342074,0,0
Banking,OMVCC,0,R,N,N,N,0.4,1,normal,5000000,10,33653.4,4039727,10937275,0,2.70743,0,120,41653,4039727,5379757,1.33171,1.01937,0,0,0,0,164032,1096544,0,246069,0,0,147123,1098657,0,220263,0,0,145410,1100194,0,217817,0,0,194055,1083143,0,291210,0,0,176435,1087262,0,263956,0,0,162828,1098182,0,244587,0,0,199864,1074589,0,300137,0,0,135221,1100263,0,203608,0,0,154101,1097271,0,231473,0,0,136429,1101170,0,205109,0,0
Banking,MV3C,1,R,Y,N,N,0.4,1,normal,5000000,10,11255.5,4824846,0,4047266,0,0.838838,428,11664.1,7795631,42765257,5.4858,24.2339,0,0,0,0,199812,0,413427,300189,0,0,194676,0,407943,292034,0,0,194175,0,405846,291574,0,0,197169,0,409529,295813,0,0,196001,0,408179,293128,0,0,193227,0,406379,290572,0,0,196416,0,409121,294988,0,0,167515,0,372365,251942,0,0,194720,0,408052,292223,0,0,195242,0,406425,293430,0,0
